time,end,type,sc_id,source,orbit,description
2020-06-18/01:22:33,2020-06-18/01:25:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:20:03,2020-06-18/01:22:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:17:33,2020-06-18/01:20:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:15:13,2020-06-18/01:17:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:12:43,2020-06-18/01:15:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:10:13,2020-06-18/01:12:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:07:43,2020-06-18/01:10:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:05:13,2020-06-18/01:07:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:02:43,2020-06-18/01:05:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/01:00:13,2020-06-18/01:02:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:57:43,2020-06-18/01:00:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:55:13,2020-06-18/00:57:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:52:43,2020-06-18/00:55:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:50:13,2020-06-18/00:52:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:47:53,2020-06-18/00:50:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:45:23,2020-06-18/00:47:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:42:53,2020-06-18/00:45:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:40:23,2020-06-18/00:42:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:37:53,2020-06-18/00:40:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:35:23,2020-06-18/00:37:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:32:53,2020-06-18/00:35:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:30:23,2020-06-18/00:32:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:27:53,2020-06-18/00:30:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:25:23,2020-06-18/00:27:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:22:53,2020-06-18/00:25:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:20:33,2020-06-18/00:22:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:18:03,2020-06-18/00:20:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:15:33,2020-06-18/00:18:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:13:03,2020-06-18/00:15:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:10:33,2020-06-18/00:13:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:08:03,2020-06-18/00:10:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:05:33,2020-06-18/00:08:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:03:03,2020-06-18/00:05:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-18/00:00:33,2020-06-18/00:03:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:58:03,2020-06-18/00:00:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:55:33,2020-06-17/23:58:03,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:53:13,2020-06-17/23:55:33,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:50:43,2020-06-17/23:53:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:48:13,2020-06-17/23:50:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:45:43,2020-06-17/23:48:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:43:13,2020-06-17/23:45:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:40:43,2020-06-17/23:43:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:38:13,2020-06-17/23:40:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:35:43,2020-06-17/23:38:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:33:13,2020-06-17/23:35:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:30:43,2020-06-17/23:33:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:28:13,2020-06-17/23:30:43,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:25:53,2020-06-17/23:28:13,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:23:23,2020-06-17/23:25:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:20:53,2020-06-17/23:23:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:18:23,2020-06-17/23:20:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:15:53,2020-06-17/23:18:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:13:23,2020-06-17/23:15:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:10:53,2020-06-17/23:13:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:08:23,2020-06-17/23:10:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:05:53,2020-06-17/23:08:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:03:23,2020-06-17/23:05:53,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/23:00:53,2020-06-17/23:03:23,burst_segment,mms,Burst,1119,Strong KH waves
2020-06-17/22:58:33,2020-06-17/23:00:53,burst_segment,mms,Burst,1119,Strong KH waves
