times,n,Tpara,Tperp
1592431839.043458,1.2875445,391.19403,363.06985
1592432372.301046,1.579364,180.64488,201.70715
1592430123.1690629,1.8038167,184.11334,179.59222
1592425837.757952,1.0942922,428.8394,407.55704
1592426157.412523,0.9991669,477.44485,447.2423
1592427207.427495,0.7787602,544.83405,469.553
1592434247.927669,1.6562319,220.37376,172.00351
1592432681.005423,1.1990871,336.81955,310.8513
1592432456.45224,1.147627,395.15573,328.1204
1592426747.370945,0.9608711,412.69937,509.22037
1592433952.573482,4.8296547,113.7656,70.4578
1592430924.930461,2.8497932,128.47849,115.45044
1592427362.529719,1.3615968,384.60748,376.3439
1592428903.8016891,1.0201272,454.4846,474.01895
1592431897.0942972,0.9217544,262.48618,278.1213
1592428976.5527291,1.0538739,545.2183,476.3315
1592428187.541483,0.83803415,791.1384,705.8601
1592428552.046672,1.1623324,471.4623,410.0092
1592428677.748468,1.031661,388.69376,399.2786
1592431123.233291,1.1507429,395.32483,446.32312
1592433616.868714,1.6029037,240.01385,236.3165
1592434019.174433,1.0200177,366.06036,279.54178
1592428163.991141,0.6994768,903.369,780.6912
1592431091.582836,1.0208513,496.48456,515.44696
1592430031.967754,1.5781829,267.1165,285.41943
1592428824.150562,0.7604342,671.8918,670.94727
1592429373.608385,2.5573153,149.16159,100.93773
1592430394.67292,1.3540969,217.94125,228.12575
1592426363.965463,1.3761202,352.82144,322.0979
1592428734.59928,1.060816,396.85452,415.9698
1592426103.4117508,0.69644034,579.1783,483.99277
1592432423.001757,1.0233288,351.1696,310.99756
1592432021.746059,1.3029162,182.96318,191.8646
1592433986.4739652,2.0271733,271.23938,203.37793
1592428278.1427798,1.2580127,526.815,382.3643
1592432557.8536751,0.9934056,528.8286,517.12866
1592431852.693656,1.2114135,513.11145,425.15106
1592431755.492277,1.3408337,434.02933,304.21017
1592430261.171028,1.2978517,204.2844,203.9871
1592429043.00367,1.031538,421.74298,376.04593
1592431741.392079,1.6137866,352.6745,304.78677
1592427348.7295191,1.266004,419.54385,379.58484
1592430348.022252,1.8813618,224.68823,181.23846
1592428285.94288,1.4578527,439.94418,355.31552
1592431620.940358,0.9421315,586.66406,489.43243
1592434847.0361652,0.94652826,405.75723,500.81903
1592432943.059144,1.3329549,245.09346,335.08188
